location_type,name,facility_type,address,suburb,lga,latitude,longitude,phone,website,source_notes
recycling,Grantville Transfer Station & Landfill,Landfill — Landfill putrescible,1685 Bass Highway,Grantville,Bass Coast,-38.420836,145.5196345,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Benalla Landfill,Landfill — Landfill putrescible,90 Old Farnley Road,Benalla,Benalla,-36.511418,145.998539,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Gippsland Water,Landfill — Landfill putrescible,1954 Longford-Loch Sport Road,Dutson,Wellington,-38.19605162,147.292318,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Smythesdale Landfill,Landfill — Landfill putrescible,Glenelg Highway,Smythesdale,Golden Plains,-37.6255435,143.7012185,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Corangamite Regional Landfill (landfill),Landfill — Landfill putrescible,605 County Boundary Road,Naroghid,Corangamite,-38.27278,143.04848,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Bairnsdale Landfill,Landfill — Landfill putrescible,200 Johnstons Road,Forge Creek,East Gippsland,-37.880001,147.6262,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Denyers Pit,Landfill — Landfill putrescible,55 Denyer Road,Kerang,Gannawarra,-35.7625785,143.77815,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Fyansford Waste Waste Management Facility (Landfill),Landfill — Landfill inert,Lower Paper Mills Road,Fyansford,Greater Geelong,-38.14431,144.30219,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Glen Landfill,Landfill — Landfill inert,75 Quarry Road,Langwarrin,Frankston,-38.140849,145.1991845,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Cosgrove Landfill,Landfill — Landfill putrescible,200 Cosgrove-Lemnos Road,Cosgrove,Greater Shepparton,-36.3474025,145.599398,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Devil Bend Landfill,Landfill — Landfill inert,435 Balnarring Road,Tuerong,Mornington Peninsula,-38.295004,145.0769435,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Wollert Landfill (Landfill),Landfill — Landfill putrescible,55 Bridge Inn Road,Wollert,Whittlesea,-37.5941365,145.038485,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Hi-Quality Landfill,Landfill — Landfill inert,570-650 Sunbury Road,Bulla,Hume,-37.60627051,144.7840747,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Dooen Landfill,Landfill — Landfill putrescible,81 Ladlows Road,Dooen,Horsham,-36.60708435,142.2563251,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Cleanaway Ravenhall Melbourne Regional Landfill,Landfill — Landfill putrescible,1100-1152 Christies Road,Ravenhall,Melton,-37.791581,144.73026,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Hyland Landfill,Landfill — Landfill putrescible,Hyland Highway,Loy Yang,Latrobe,-38.25121269,146.5587835,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Maddingley Brown Coal Landfill,Landfill — Landfill putrescible,11 Tilleys Road,Maddingley,Moorabool,-37.69944971,144.4461394,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Mildura Landfill,Landfill — Landfill putrescible,15 Scherger Drive,Mildura,Mildura,-34.1850615,142.1422685,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Mitchell Landfill,Landfill — Landfill putrescible,470 Seymour-Tooborac Road,Hilldene,Mitchell,-37.029435,145.08141,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Cobram Landfill,Landfill — Landfill putrescible,56 Pye Road,Cobram,Moira,-35.9553275,145.696043,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Rye Landfill & Resource Recovery Centre (landfill),Landfill — Landfill putrescible,280 Truemans Road,Fingal,Mornington Peninsula,-38.401757,144.860689,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Alexandra landfill,Landfill — Landfill putrescible,124 Mount Pleasant Road,Alexandra,Murrindindi,-37.21248924,145.7246176,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,SBI Inert Landfill,Landfill — Landfill inert,950 Ballarto Road,Cranbourne,Casey,-38.125963,145.262557,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Koonwarra Landfill,Landfill — Landfill putrescible,275 Koonwarra-Inverloch Road,Koonwarra,South Gippsland,-38.5583285,145.9222205,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Stawell Landfill,Landfill — Landfill putrescible,492-494 Pomonal Rd,Stawell,Northern Grampians,-37.10016747,142.7342053,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Hallam Road Landfill,Landfill — Landfill putrescible,274 Hallam Road,Hampton Park,Casey,-38.05392746,145.2673205,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Veolia Taylors Road Landfill,Landfill — Hazardous waste landfill facility,890 Taylors Road,Dandenong South,Greater Dandenong,-38.0401335,145.228086,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Anglesea Landfill,Landfill — Landfill putrescible,50 Coalmine Road,Anglesea,Surf Coast,-38.38506,144.19862,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Swan Hill Rural City Council (landfill),Landfill — Landfill putrescible,6859 Swan Hill-Sea Lake Road,Swan Hill,Swan Hill,-35.349929,143.509847,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Drysdale Landfill,Landfill — Landfill putrescible,82-180 Becks Road,Drysdale,Greater Geelong,-38.16925,144.62752,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Patho Landfill,Landfill — Landfill putrescible,Patho Station Road,Patho,Campaspe,-36.0375645,144.438963,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Bowser Landfill,Landfill — Landfill putrescible,5 Coleman Road,Bowser,Wangaratta,-36.3181915,146.3671645,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Kilmany Landfill,Landfill — Landfill putrescible,Velore Road,Kilmany,Wellington,-38.102931,146.9274395,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Werribee Landfill,Landfill — Landfill putrescible,470 Wests Road,Werribee,Wyndham,-37.940938,144.5905665,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,"Australian Paper Recovery (Truganina, MRF)",MRF — Materials recovery facility,9 Felstead Drive,Truganina,Wyndham,-37.822761,144.761072,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,"Australian Paper Recovery (Truganina, Paper recycling)",Reprocessor — Paper & cardboard recovery,9 Felstead Drive,Truganina,Wyndham,-37.822761,144.761072,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Cleanaway (Coolaroo MRF),MRF — Materials recovery facility,94 Maffra Street,Coolaroo,Hume,-37.657821,144.940081,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,"Cleanaway (Laverton, MRF)",MRF — Materials recovery facility,32 Gilbertson Road,Laverton North,Wyndham,-37.821854,144.795121,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Dasma MRF,MRF — Materials recovery facility,75 Tramway Road,Morwell,Latrobe,-38.239457,146.438138,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,"Re-Group (Dandenong, MRF)",MRF — Materials recovery facility,126-134 Thomas Murrell Crescent,Dandenong South,Greater Dandenong,-38.021922,145.19362,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Tambo Waste (Lakes Entrance),Resource Recovery Centre — Transfer station,58 Whiters Street,Lakes Entrance,East Gippsland,-37.87104134,148.001551,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Echuca MRF,MRF — Materials recovery facility,11 Reliance Court,Echuca,Campaspe,-36.148171,144.761935,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Visy Recycling MRF (Heidelberg),MRF — Materials recovery facility,Corner Waterdale Road and Banksia Street,Heidelberg,Banyule,-37.756448,145.04335,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Visy Recycling MRF (Springvale),MRF — Materials recovery facility,708 Princes Highway,Springvale,Greater Dandenong,-37.944038,145.171484,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Robertson's Farmgate  (AD & HM Robertson Pty Ltd),Reprocessor — Organics recycling,800 Blackgate Road,Mount Duneed,Surf Coast,-38.284467,144.3122465,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Australian Growing Solutions Tyabb,Reprocessor — Organics recycling,15-21 Mckirdys Road,Tyabb,Mornington Peninsula,-38.2600379,145.215159,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,AKD Softwoods,Reprocessor — Thermal energy from waste,7-15 Forest Street,Colac,Colac Otway,-38.3374839,143.6050628,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Alberton Timber,Reprocessor — Thermal energy from waste,S Gippsland Hwy,Alberton,Wellington,-38.6107258,146.6633253,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Alpine MDF,Reprocessor — Thermal energy from waste,Lot 1 Crosher Lane,North Wangaratta,Wangaratta,-36.33556952,146.3733945,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Argus Recycling,Reprocessor — Organics recycling,60-62 Ordish Road,Dandenong,Greater Dandenong,-38.0218412,145.1925814,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Aussie Compost Company,Reprocessor — Organics recycling,307 Koonwarra-Pound Creek Road,Pound Creek,South Gippsland,-38.6031244,145.884364,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Pelletmate,Reprocessor — Organics recycling,77 Buckley Grove,Moolap,Greater Geelong,-38.1636158,144.4288089,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,"Australian Paper (Maryvale, Organics recycling)",Reprocessor — Organics recycling,Traralgon West Road,Maryvale,Latrobe,-38.1875016,146.4703219,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Australian Sustainable Hardwoods,Reprocessor — Thermal energy from waste,4 Weir Road,Heyfield,Wellington,-37.9785803,146.7944572,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Australian Tartaric Products Co-generation Plant,Reprocessor — Thermal energy from waste,Boonoonar Road,Colignan,Mildura,-34.55,142.383333,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,"Repurpose It (Epping, organics recycling)",Reprocessor — Organics recycling,460 Cooper Street,Epping,Whittlesea,-37.64051054,144.9782316,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Repurpose It (Montrose),Reprocessor — Organics recycling,54 Fussell Road,Montrose,Yarra Ranges,-37.8215044,145.3256144,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Repurpose It (Hallam),Reprocessor — Organics recycling,88-102 Ogrady Road,Hallam,Casey,-38.0179334,145.2555432,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Beaufort Hospital,Reprocessor — Thermal energy from waste,28 Havelock Street,Beaufort,Pyrenees,-37.4308576,143.3824534,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,BE Bioenergy,Reprocessor — Thermal energy from waste,713 Yarrock Road,Kaniva,West Wimmera,-36.264183,141.189763,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Bellarine Tree Services,Reprocessor — Organics recycling,23 Albert Street,Moolap,Greater Geelong,-38.183333,144.433333,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,"Berrybank Farm (Windermere, Organics recycling)",Reprocessor — Organics recycling,34 Hendersons Road,Windemere,Ballarat,-37.46425098,143.7108228,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,"Berrybank Farm (Windermere, Anaerobic digestion)",Reprocessor — Anaerobic digestion,34 Hendersons Road,Windemere,Ballarat,-37.46425098,143.7108228,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Biomix,Reprocessor — Organics recycling,980 Two Tree Road,Stanhope,Campaspe,-36.4984491,144.9246154,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Blow It Mulch & Mega Mulch,Reprocessor — Organics recycling,6309 Maroondah Highway,Yarck,Murrindindi,-37.1225226,145.6172295,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Branin (organics),Reprocessor — Organics recycling,7 Apoinga Street,Dandenong South,Greater Dandenong,-38.0356394,145.2059851,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Bio Gro (Newbridge),Reprocessor — Organics recycling,1477 Yorkshire Road,Newbridge,Loddon,-36.7076981,143.9585202,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,"Maddingley Brown Coal (Maddingley, Organics recycling)",Reprocessor — Organics recycling,11 Tilleys Road,Maddingley,Moorabool,-37.69686165,144.446874,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Castlegate James,Reprocessor — Organics recycling,4 Wiltshire Lane,Delacombe,Ballarat,-37.570511,143.809237,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Gippsland Regional Organics,Reprocessor — Organics recycling,1954 Longford-Loch Sport Road,Dutson,Wellington,-38.1963007,147.2923152,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Carisbrook Transfer Station,Reprocessor — Organics recycling,125 Williams Road,Carisbrook,Central Goldfields,-37.0569249,143.7932509,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Central Recycling (Organics),Reprocessor — Organics recycling,Redesdale Road,Kyneton,Macedon Ranges,-37.23046851,144.45053,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,"City Circle (Brooklyn, Thermal energy from waste)",Reprocessor — Thermal energy from waste,166-156 Jones Road,Brooklyn,Brimbank,-37.8117381,144.8351408,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Cleanaway South East Organics Facility (SEOF),Reprocessor — Organics recycling,88 Ordish Road,Dandenong South,Greater Dandenong,-38.0256086,145.192464,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Corangamite Regional Landfill (Composting),Reprocessor — Organics recycling,605 County Boundary West Road,Naroghid,Corangamite,-38.2710232,143.0768582,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,"D&R Henderson (Winton, Organics recycling)",Reprocessor — Organics recycling,3672/42 Benalla - Yarrawonga Road,Winton,Benalla,-36.5263822,146.0393712,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,"D&R Henderson (Winton, Anaerobic digestion)",Reprocessor — Anaerobic digestion,3672/42 Benalla - Yarrawonga Road,Winton,Benalla,-36.5263822,146.0393712,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Davo's Worm Farms,Reprocessor — Organics recycling,50 Henders Road,Broomfield,Hepburn,-37.3787785,143.9072197,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,REMONDIS Dandenong South Liquid Processing Plant,Reprocessor — Organics recycling,26-28 Souffi Place,Dandenong South,Greater Dandenong,-38.0321019,145.1974555,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Elmore Compost & Organics (organics),Reprocessor — Organics recycling,1203 Goornong-Mayreef Road,Elmore,Greater Bendigo,-36.5074594,144.5027465,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Epsom Sand and Soil,Reprocessor — Organics recycling,452 Epsom-Barnadown Road,Wellsford,Greater Bendigo,-36.6888991,144.3580317,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Frews Abattoir,Reprocessor — Thermal energy from waste,46 Abattoir Rd,Stawell,Northern Grampians,-37.0555913,142.7578005,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Garden State Mulching Services,Reprocessor — Organics recycling,257 George Street,Wantirna South,Knox,-37.8826128,145.2135493,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Geelong GO Composting Facility,Reprocessor — Organics recycling,400 Staceys Road,Anakie,Greater Geelong,-38.00850963,144.3031513,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Gippsland Greenhouse Produce,Reprocessor — Thermal energy from waste,1566 Princes Highway,Yarragon,Baw Baw,-38.2066962,146.095034,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Goulburn River Trout,Reprocessor — Organics recycling,1680 Goulburn Valley Highway,Alexandra,Murrindindi,-37.2355024,145.7696774,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
recycling,Garden Recycling Centre,Reprocessor — Organics recycling,154 Learmonth Street,Alfredton,Ballarat,-37.5672069,143.808512,,,Confirm this facility accepts your appliance before visiting. Open data may be incomplete or out of date.
