location_type,name,facility_type,address,suburb,lga,latitude,longitude,phone,website,source_notes
repair,A Phone,Electronics repair,,,,-37.7670617,144.9232008,,,OpenStreetMap data may be incomplete or out of date. Contact the provider before travelling.
repair,AOAO Phone Repair,Repair shop,93B Main Street,,,-37.7959043,145.2810229,+61 451 123 889,,OpenStreetMap data may be incomplete or out of date. Contact the provider before travelling.
repair,Australia GSM World,Electronics repair,,,,-37.9582733,145.0549778,+61 3 9585 8885,,OpenStreetMap data may be incomplete or out of date. Contact the provider before travelling.
repair,Ballarat Caravan & Trailer Repairs,Repair shop,,,,-37.5126425,143.8446731,,,OpenStreetMap data may be incomplete or out of date. Contact the provider before travelling.
repair,Bannockburn Sandblasting,Repair shop,,,,-38.0513123,144.1479973,,,OpenStreetMap data may be incomplete or out of date. Contact the provider before travelling.
repair,BuzzTech,Electronics repair,201 Murray Street,,,-38.3394363,143.5838027,+61 475 671 426,https://buzztech.com.au/colac,OpenStreetMap data may be incomplete or out of date. Contact the provider before travelling.
repair,Camberwell Lotto & Mobile,Electronics repair,,,,-37.830452,145.0567277,,,OpenStreetMap data may be incomplete or out of date. Contact the provider before travelling.
repair,Eascom Electrical,Electronics repair,,,,-37.7044926,145.1030216,,,OpenStreetMap data may be incomplete or out of date. Contact the provider before travelling.
repair,EB Mobile and Repair,Electronics repair,,,,-37.922078,145.0831901,,,OpenStreetMap data may be incomplete or out of date. Contact the provider before travelling.
repair,Excel Business Electronics,Electronics repair,,,,-34.1891482,142.1624374,,www.excelbusiness.com.au,OpenStreetMap data may be incomplete or out of date. Contact the provider before travelling.
repair,Express iRepair,Electronics repair,,,,-37.6866084,144.5616245,,,OpenStreetMap data may be incomplete or out of date. Contact the provider before travelling.
repair,Fonecast,Electronics repair,,,,-37.8471985,144.9942385,,,OpenStreetMap data may be incomplete or out of date. Contact the provider before travelling.
repair,Footscray Electronics TV Repairs,Electronics repair,,,,-37.7992732,144.8943113,,,OpenStreetMap data may be incomplete or out of date. Contact the provider before travelling.
repair,Gadget Masters Birallee,Electronics repair,,,,-36.1275849,146.8640679,,,OpenStreetMap data may be incomplete or out of date. Contact the provider before travelling.
repair,Game Freaks Game Console Service Centre,Electronics repair,,,,-37.6823648,145.0132233,,,OpenStreetMap data may be incomplete or out of date. Contact the provider before travelling.
repair,Geelong Appliance Spares,Electronics repair,156 Victoria Street,,,-38.1227256,144.3437247,+61 3 5278 7701,https://geelongappliancespares.com.au,OpenStreetMap data may be incomplete or out of date. Contact the provider before travelling.
repair,Happy Mobile,Electronics repair,,,,-38.2449128,145.0470473,,,OpenStreetMap data may be incomplete or out of date. Contact the provider before travelling.
repair,JD Race Parts,Repair shop,,,,-38.2321183,143.1479907,,,OpenStreetMap data may be incomplete or out of date. Contact the provider before travelling.
repair,Jet Aviation,Repair shop,247 Somerton Park Road,,,-38.0990702,147.0967863,+61 3 5143 3223,https://www.jetaviation.com/,OpenStreetMap data may be incomplete or out of date. Contact the provider before travelling.
