title,published_date,summary,official_url,rss_category,match_keywords,likely_appliance_recall
Basco BFO-15671 oil filter for diesel engines,2026-08-27,"27 Aug 2026 Product description Spin-on engine oil filter for diesel engines, sold as both a standalone part and as part of service kits. Suitable for the following vehicles: Isuzu D-Max (TFR/TFS series, 06/2012-2026) Isuzu MU-X (UCS85, 11/2013-06/2021) Isuzu MU-X (UCR40/UCS40, 07/2021-2026) Mazda BT50 (B30 TFR40/TFS40, 08/2020-2026) with 3.0L diesel 4JJ1-TCX or 4JJ3-TCX engines Standalone oil filter (sold at Basco Wholesale and Allied Auto Online): Part number BFO-15671 (found on packaging and filter can) Barcode 9356247149707 Filter service kit containing affected oil filter (sold at Bunnings Warehouse): Kit number BUNF5 Barcode 9356247157535 Reason the product is recalled The base seal of the oil filter may prevent the thread from screwing on properly and cause the oil filter to loosen or come off while the vehicle is being driven, causing oil to spill out of the engine. This can happen even when the filter has been fitted correctly, and it can happen without any warning to the driver. The hazards to consumers Risk of death, serious injury or property damage (including to other road users) from an accident if the filter loosens or comes off the engine while the vehicle is being driven. The oil spill from the engine may cause a fire if it comes into contact with the hot engine parts. An incident causing oil loss to a vehicle has occurred. What consumers should do Stop driving the vehicle immediately if you have the oil filter installed and do not use your vehicle until the oil filter is replaced. If you have not yet fitted the oil filter, do not install it. If the oil filter has been installed in your vehicle, Basco will cover the reasonable costs of having your vehicle inspected and oil filter replaced. Please provide your receipts to Basco when you contact them. If the oil filter has not been installed yet: If you purchased the standalone oil filter from Basco or Allied Auto Online, contact Basco to arrange a free replacement or full refund, If you purchased the",https://www.productsafety.gov.au/search-consumer-product-recalls/basco-bfo-15671-oil-filter-for-diesel-engines,Car parts and accessories,15671 2012 2013 2020 2021 2026 4jj1 4jj3 9356247149707 9356247157535 accessories accident affected allied and any arrange aug auto b30 barcode basco base been being bfo both bt50 bunf5 bunnings can car cause causing come comes consumers contact containing correctly costs cover damage death description diesel driven driver driving engine engines even filter fire fitted following for found free from full happen has have having hazards hot immediately incident including injury inspected install installed into isuzu kit kits loosen loosens,maybe
GASGAS Motocross and Cross Country motorbikes (MY21-24),2026-08-27,"27 Aug 2026 Product description Full-sized MX motocross and Cross Country models with BRAKTEC rear brake system. 2-stroke and 4-stroke models MC and EX models variants Model years 2021 – 2024 Please see attached list of affected VINs. These motorbikes are not road-registerable. Reason the product is recalled The rear brake calliper assembly may crack and break under excessive stress loads. The hazards to consumers Risk of serious injury or death if the brake calliper fails and causes an accident. An incident of the brake calliper failing causing an accident has occurred overseas. What consumers should do Stop using the dirt bike immediately. Do not use the bike until the rear brake calliper has been replaced by an authorised dealership. Contact your local authorised dealer to schedule an appointment to have the rear brake calliper, including the calliper bracket, replaced at no cost to you. Do not attempt to replace the calliper yourself. For further information or assistance with this recall, please contact your authorised dealer or KTM Australia Pty Ltd. Contact KTM Australia Pty Ltd Call: 1800 644 771 Email: recalls-au@gasgas.com Visit: https://www.gasgas.com/en-au.html",https://www.productsafety.gov.au/search-consumer-product-recalls/gasgas-motocross-and-cross-country-motorbikes-my21-24,Dirt bikes and miniature motorbikes,1800 2021 2024 2026 644 771 accident affected and appointment are assembly assistance attached attempt aug australia authorised been bike bikes bracket brake braktec break call calliper causes causing com consumers contact cost country crack cross dealer dealership death description dirt email excessive failing fails for full further gasgas has have hazards html https immediately incident including information injury ktm list loads local ltd may miniature model models motocross motorbikes my21 not occurred overseas please product pty rear reason recall,maybe
Husqvarna Cross Country dirt bikes,2026-08-27,"27 Aug 2026 Product description Cross Country dirt bikes with BRAKTEC rear brake system. Affected model variants: TX300 FX350 Model years 2022 – 2024 Please see attached list of affected VINs. These motorbikes are not road-registerable. Reason the product is recalled The rear brake calliper assembly may crack and break under excessive stress loads. The hazards to consumers Risk of serious injury or death if the brake calliper fails and causes an accident. An incident of the brake calliper failing causing an accident has occurred overseas. What consumers should do Stop using the dirt bike immediately. Do not use the bike until the rear brake calliper has been replaced by an authorised dealership. Contact your local authorised dealer to schedule an appointment to have the rear brake calliper, including the calliper bracket, replaced at no cost to you. Do not attempt to replace the calliper yourself. For further information or assistance with this recall, please contact your authorised dealer or HQVA Pty Ltd. Contact HQVA Pty Ltd Call 1800 644 771 Email: recalls-au@husqvarna-mobility.com Visit https://www.husqvarna-motorcycles.com/en-au.html",https://www.productsafety.gov.au/search-consumer-product-recalls/husqvarna-cross-country-dirt-bikes,Dirt bikes and miniature motorbikes,1800 2022 2024 2026 644 771 accident affected and appointment are assembly assistance attached attempt aug authorised been bike bikes bracket brake braktec break call calliper causes causing com consumers contact cost country crack cross dealer dealership death description dirt email excessive failing fails for further fx350 has have hazards hqva html https husqvarna immediately incident including information injury list loads local ltd may miniature mobility model motorbikes motorcycles not occurred overseas please product pty rear reason recall recalled recalls,maybe
Tea infuser,2026-08-21,"21 Aug 2026 Product description Tea infuser designed for use with Frank Green ceramic reusable cups and bottles 295ml and up. Product number: D21S30 Reason the product is recalled On affected tea infusers, sections of the metal finish on the top metal rim may be loose or raised. The hazards to consumers Risk of injury from cuts or scratches by the loose or raised section of the tea infuser when used. An incident of a consumer being scratched has occurred. What consumers should do Stop using the product immediately and inspect the product for loose or raised metal materials on the tea infuser. If your product is affected, contact Frank Green to arrange for a full refund and dispose of the product in accordance with local waste disposal requirements. If you require further information or assistance with this recall, contact Frank Green. Contact Frank Green Email: hello@frankgreen.com.au or use the Contact form Customer service team available between 9:00am and 5:00pm, Monday to Friday",https://www.productsafety.gov.au/search-consumer-product-recalls/tea-infuser,Kitchenware and containers,00am 00pm 2026 295ml accordance affected and arrange assistance aug available being between bottles ceramic com consumer consumers contact containers cups customer cuts d21s30 description designed disposal dispose email finish for form frank frankgreen friday from full further green has hazards hello immediately incident information infuser infusers injury inspect kitchenware local loose materials may metal monday number occurred product raised reason recall recalled refund require requirements reusable rim risk scratched scratches section sections service should stop tea team the this,maybe
Babybee toddler board with detachable seat,2026-08-21,"21 Aug 2026 Product description The Babybee toddler board is a stroller accessory that can be used as a standing toddler board or with a detachable seat. Only the detachable seat is recalled. The toddler board itself is not affected. The toddler boards with the affected detachable seat have batch numbers X-001, X-002, X-012A and X-015D. These can be found on the underside of the toddler board. Reason the product is recalled The detachable seat may break at the point where the seat attaches to the main pole of the product. The hazards to consumers Risk of serious injury to a child from a fall if the detachable seat breaks while in use. Incidents have occurred. What consumers should do Stop using the toddler board immediately and check the batch number on the underside of your Babybee toddler board. If your toddler board has batch number X-001, X-002, X-012A or X-015D, remove the detachable seat from the toddler board. The toddler board may continue to be used in standing mode without the detachable seat. Dispose of the affected detachable seat in your household general waste bin. Register your affected product at: https://babybeeonline.com/pages/recall Babybee will provide affected consumers with a replacement detachable seat free of charge. Replacement seats are expected to be available from approximately early October 2026. Registered consumers will be contacted when replacement seats are ready for dispatch and will receive updates if this timing changes. Contact Babybee if you require further information or assistance with this recall. Contact Babybee Prams Pty Ltd Email au.support@babybeeonline.com Visit babybeeonline.com",https://www.productsafety.gov.au/search-consumer-product-recalls/babybee-toddler-board-with-detachable-seat,Prams and strollers,001 002 012a 015d 2026 accessory affected and approximately are assistance attaches aug available babybee babybeeonline batch bin board boards break breaks can changes charge check child com consumers contact contacted continue description detachable dispatch dispose early email expected fall for found free from further general has have hazards household https immediately incidents information injury itself ltd main may mode not number numbers occurred october only pages point pole prams product provide pty ready reason recall recalled receive register registered,maybe
Weet-Bix Wearable Blanket,2026-08-20,"20 Aug 2026 Product description Wearable hooded blanket in child and adult sizes. Reason the product is recalled The products do not comply with the mandatory standard for children’s nightwear . The products do not include the required fire hazard warning label. The hazards to consumers There is a risk of serious burn injuries if the product is exposed to a heat or flame source. Consumers may not be aware of this risk. What consumers should do Stop using the blanket immediately and place away from heat sources or flames. Contact Sanitarium to arrange to return the product for a full refund. For further information or assistance with this recall, please contact Sanitarium. Contact Sanitarium Health Food Company Call 1800 673 392 Email hello@sanitarium.com.au Visit http://www.weetbix.com.au/recall",https://www.productsafety.gov.au/search-consumer-product-recalls/weet-bix-wearable-blanket,Clothing (daywear),1800 2026 392 673 adult and arrange assistance aug aware away bix blanket burn call child children clothing com company comply consumers contact daywear description email exposed fire flame flames food for from full further hazard hazards health heat hello hooded http immediately include information injuries label mandatory may nightwear not place please product products reason recall recalled refund required return risk sanitarium serious should sizes source sources standard stop the there this using visit warning wearable weet weetbix what,maybe
ORBEA Optima Asphalt & Comfort e-bikes,2026-08-19,"19 Aug 2026 Product description Optima step-through e-bikes in two models: Asphalt Comfort Affected models have a VIN containing SNKIN19A. Please see attached list of affected warranty numbers. Reason the product is recalled A fault in the bike’s frame welding may cause the frame to break while in use. The hazards to consumers Risk of death, serious injury or property damage (including to other road users) if the bike’s frame breaks while in use and causes an accident. What consumers should do Stop using the bike and check the VIN engraved on the frame. If the bike’s VIN contains SNKIN19A, contact your nearest ORBEA dealer to arrange for a free replacement. Contact ORBEA if you require further assistance or information with this recall. Contact ORBEA Call: 0400 261 990 Email: scampo@orbea.com Visit: https://www.orbea.com/en-au/contact",https://www.productsafety.gov.au/search-consumer-product-recalls/orbea-optima-asphalt-comfort-e-bikes,Bicycles and scooters (push),0400 2026 261 990 accident affected and arrange asphalt assistance attached aug bicycles bike bikes break breaks call cause causes check com comfort consumers contact containing contains damage dealer death description email engraved fault for frame free further have hazards https including information injury list may models nearest numbers optima orbea other please product property push reason recall recalled replacement require risk road scampo scooters see serious should snkin19a step stop the this through two use users using vin visit,maybe
Playground Plus Box 4: Play With Purpose 10-12m toy box,2026-08-18,"18 Aug 2026 Product description Pull string tentacle silicone sensory toy from the Play With Purpose set. Only the pull string tentacle silicone toy is affected in the set. SKU: 1011414 Reason the product is recalled The tentacle toy may not comply with the mandatory standard for toys for children up to and including 36 months of age . The product’s silicone pull strings that are too long and can reach the back of a child's throat causing choking or asphyxiation. Small parts may detach from the product and cause a child to choke if they place them in their mouth. The hazards to consumers Risk of serious injury or death from choking and asphyxiation if a child places the silicone pull strings in their mouth or if small parts detach from the toy and the child places them in their mouth. What consumers should do Stop using the tentacle silicone sensory toy immediately and place out of reach of children. Cut the strings of the toy and take a photograph of the toy before disposing of it in household waste. Email the photograph and your order details to info@livingtextiles.com.au to receive a refund of the value of the tentacle sensory toy within 30 days. For further information or assistance with this recall, please email Living Textiles Australia. Contact Roger Lee (AUST) PTY LTD Email info@livingtextiles.com.au Visit https://www.livingtextiles.com.au",https://www.productsafety.gov.au/search-consumer-product-recalls/playground-plus-box-4-play-with-purpose-10-12m-toy-box,Learning and activity toys,1011414 12m 2026 activity affected age and are asphyxiation assistance aug aust australia back before box can cause causing child children choke choking com comply consumers contact cut days death description detach details disposing email for from further hazards household https immediately including info information injury learning lee living livingtextiles long ltd mandatory may months mouth not only order out parts photograph place places play playground please plus product pty pull purpose reach reason recall recalled receive refund risk roger,maybe
Pull String Interactive Toys,2026-08-18,"18 Aug 2026 Product description Pull string silicone sensory toy for infants in two styles: Dusty (SKU: 4236397) Jimmy (SKU: 4236484) Reason the product is recalled The product may not comply with the mandatory standard for toys for children up to and including 36 months of age . The product’s silicone pull strings that are too long and can reach the back of a child's throat causing choking or asphyxiation. Small parts may detach from the product and cause a child to choke if they place them in their mouth. The hazards to consumers Risk of serious injury or death from choking and asphyxiation if a child places the silicone pull strings in their mouth or if small parts detach from the toy and the child places them in their mouth. What consumers should do Stop using the toy immediately and place out of reach of children. Cut the strings of the toy and take a photograph of the toy before disposing of it in household waste. Email the photograph and your order details to info@livingtextiles.com.au to receive a full refund within 30 days. For further information or assistance with this recall, please email Living Textiles Australia. Contact Roger Lee (AUST) PTY LTD Email info@livingtextiles.com.au Visit https://www.livingtextiles.com.au",https://www.productsafety.gov.au/search-consumer-product-recalls/pull-string-interactive-toys,Learning and activity toys,2026 4236397 4236484 activity age and are asphyxiation assistance aug aust australia back before can cause causing child children choke choking com comply consumers contact cut days death description detach details disposing dusty email for from full further hazards household https immediately including infants info information injury interactive jimmy learning lee living livingtextiles long ltd mandatory may months mouth not order out parts photograph place places please product pty pull reach reason recall recalled receive refund risk roger sensory serious,maybe
Two-stage LPG gas pressure regulator for Snowy River and Newgen caravans,2026-08-17,"17 Aug 2026 Product description Compact metal regulator fitted to the gas system of Snowy River and Newgen caravans. Model: RV-One HDJYF1001-1 AGA approval: 9191 The regulator is mounted on the A-frame at the front of the caravan, between the gas cylinders and the body of the van and is connected to the cylinders by flexible pigtail hoses. Please see attached list of chassis numbers with affected regulators. The chassis number is engraved on the A-Frame and on the compliance plate inside the tunnel boot. Reason the product is recalled The diaphragm inside the gas regulator can fail, causing the regulator to leak LPG gas. The hazards to consumers Risk of serious injury or death if the gas leaks near an ignition source and causes an explosion or fire. Risk of serious injury or death by asphyxiation if the leak causes a build-up of gas in an enclosed space. Incidents of the regulator failing and leaking LPG gas have occurred. What consumers should do Stop using the regulator immediately and ensure both gas bottle and regulator are turned off. Contact Regent RV via the customer portal link below to arrange for a licenced gas fitter to replace the regulator free of charge. For further information or assistance with this recall, please contact Regent RV. Contact Regent RV Call 1800 485 031 Email recall@snowyrivercaravans.com.au for Snowy River Caravans or recall@newgencaravans.com.au for NewGen caravans Customer portal link https://snowyrivercaravans.com.au/recall-lookup-chassis-search/",https://www.productsafety.gov.au/search-consumer-product-recalls/two-stage-lpg-gas-pressure-regulator-for-snowy-river-and-newgen-caravans,Gas products and appliances,031 1800 2026 485 9191 affected aga and appliances approval are arrange asphyxiation assistance attached aug below between body boot both bottle build call can caravan caravans causes causing charge chassis com compact compliance connected consumers contact customer cylinders death description diaphragm email enclosed engraved ensure explosion fail failing fire fitted fitter flexible for frame free front further gas have hazards hdjyf1001 hoses https ignition immediately incidents information injury inside leak leaking leaks licenced link list lookup lpg metal model,maybe
