suburb,postcode,latitude,longitude,state,abs_code,centroid_method
Abbeyard,3737,-37.019419,146.769112,VIC,20001,ASGS SAL polygon representative point (approximate)
Abbotsford,3067,-37.804584,144.995972,VIC,20002,ASGS SAL polygon representative point (approximate)
Aberfeldie,3040,-37.759576,144.897404,VIC,20003,ASGS SAL polygon representative point (approximate)
Aberfeldy,3825,-37.699788,146.378436,VIC,20004,ASGS SAL polygon representative point (approximate)
Acheron,3714,-37.268932,145.699319,VIC,20005,ASGS SAL polygon representative point (approximate)
Ada,3833,-37.842215,145.851873,VIC,20006,ASGS SAL polygon representative point (approximate)
Adams Estate,3984,-38.425178,145.531862,VIC,20007,ASGS SAL polygon representative point (approximate)
Addington,3352,-37.394487,143.667762,VIC,20008,ASGS SAL polygon representative point (approximate)
Adelaide Lead,3465,-37.081528,143.668401,VIC,20009,ASGS SAL polygon representative point (approximate)
Agnes,3962,-38.681849,146.388047,VIC,20010,ASGS SAL polygon representative point (approximate)
Aintree,3336,-37.717195,144.663666,VIC,20011,ASGS SAL polygon representative point (approximate)
Aire Valley,3237,-38.692485,143.566088,VIC,20012,ASGS SAL polygon representative point (approximate)
Aireys Inlet,3231,-38.435076,144.097137,VIC,20013,ASGS SAL polygon representative point (approximate)
Airly,3851,-38.03075,147.097452,VIC,20014,ASGS SAL polygon representative point (approximate)
Airport West,3042,-37.723734,144.88142,VIC,20015,ASGS SAL polygon representative point (approximate)
Albacutya,3424,-35.739612,141.965061,VIC,20016,ASGS SAL polygon representative point (approximate)
Albanvale,3021,-37.745966,144.768663,VIC,20017,ASGS SAL polygon representative point (approximate)
Albert Park,3206,-37.845178,144.951483,VIC,20018,ASGS SAL polygon representative point (approximate)
Alberton,3971,-38.618943,146.656483,VIC,20019,ASGS SAL polygon representative point (approximate)
Alberton West,3971,-38.603681,146.577049,VIC,20020,ASGS SAL polygon representative point (approximate)
Albion,3020,-37.776516,144.816174,VIC,20021,ASGS SAL polygon representative point (approximate)
Alexandra,3714,-37.198098,145.736737,VIC,20022,ASGS SAL polygon representative point (approximate)
Alfredton,3350,-37.556041,143.80076,VIC,20023,ASGS SAL polygon representative point (approximate)
Allambee,3823,-38.292858,146.021637,VIC,20024,ASGS SAL polygon representative point (approximate)
Allambee Reserve,3871,-38.307585,146.052006,VIC,20025,ASGS SAL polygon representative point (approximate)
Allambee South,3871,-38.351335,146.099421,VIC,20026,ASGS SAL polygon representative point (approximate)
Allans Flat,3691,-36.296018,146.93678,VIC,20027,ASGS SAL polygon representative point (approximate)
Allansford,3277,-38.393534,142.611721,VIC,20028,ASGS SAL polygon representative point (approximate)
Allendale,3364,-37.36194,143.915112,VIC,20029,ASGS SAL polygon representative point (approximate)
Allestree,3305,-38.270332,141.656168,VIC,20030,ASGS SAL polygon representative point (approximate)
Alma,3465,-37.022058,143.678098,VIC,20031,ASGS SAL polygon representative point (approximate)
Almonds,3727,-36.224958,146.0607,VIC,20032,ASGS SAL polygon representative point (approximate)
Almurta,3979,-38.458621,145.583887,VIC,20033,ASGS SAL polygon representative point (approximate)
Alphington,3078,-37.780399,145.030899,VIC,20034,ASGS SAL polygon representative point (approximate)
Altona,3018,-37.860069,144.813375,VIC,20035,ASGS SAL polygon representative point (approximate)
Altona Meadows,3028,-37.880977,144.784441,VIC,20036,ASGS SAL polygon representative point (approximate)
Altona North,3025,-37.837784,144.834738,VIC,20037,ASGS SAL polygon representative point (approximate)
Alvie,3249,-38.234295,143.496263,VIC,20038,ASGS SAL polygon representative point (approximate)
Amherst,3371,-37.135936,143.653194,VIC,20039,ASGS SAL polygon representative point (approximate)
Amor,3825,-37.940235,146.403699,VIC,20040,ASGS SAL polygon representative point (approximate)
Amphitheatre,3468,-37.187934,143.414823,VIC,20041,ASGS SAL polygon representative point (approximate)
Anakie,3213,-37.938018,144.284705,VIC,20042,ASGS SAL polygon representative point (approximate)
Ancona,3715,-36.962018,145.809367,VIC,20043,ASGS SAL polygon representative point (approximate)
Anderson,3995,-38.521724,145.449302,VIC,20044,ASGS SAL polygon representative point (approximate)
Anglers Rest,3898,-37.016318,147.467479,VIC,20045,ASGS SAL polygon representative point (approximate)
Anglesea,3230,-38.38083,144.154308,VIC,20046,ASGS SAL polygon representative point (approximate)
Annuello,3549,-34.865957,142.826709,VIC,20047,ASGS SAL polygon representative point (approximate)
Antwerp,3414,-36.26746,141.970944,VIC,20048,ASGS SAL polygon representative point (approximate)
Apollo Bay,3233,-38.727792,143.641459,VIC,20049,ASGS SAL polygon representative point (approximate)
Appin,3579,-35.879573,143.868455,VIC,20050,ASGS SAL polygon representative point (approximate)
Appin South,3579,-35.930682,143.864254,VIC,20051,ASGS SAL polygon representative point (approximate)
Apsley,3319,-36.966717,141.084122,VIC,20052,ASGS SAL polygon representative point (approximate)
Ararat,3377,-37.262438,142.975616,VIC,20053,ASGS SAL polygon representative point (approximate)
Arawata,3951,-38.392789,145.87814,VIC,20054,ASGS SAL polygon representative point (approximate)
Arbuckle,3858,-37.369027,146.829171,VIC,20055,ASGS SAL polygon representative point (approximate)
Arcadia,3631,-36.53832,145.373438,VIC,20056,ASGS SAL polygon representative point (approximate)
Arcadia South,3631,-36.593765,145.381121,VIC,20057,ASGS SAL polygon representative point (approximate)
Archdale,3475,-36.837334,143.510237,VIC,20058,ASGS SAL polygon representative point (approximate)
Archdale Junction,3475,-36.885528,143.5149,VIC,20059,ASGS SAL polygon representative point (approximate)
Archerton,3723,-36.86888,146.20903,VIC,20060,ASGS SAL polygon representative point (approximate)
Archies Creek,3995,-38.548278,145.56374,VIC,20061,ASGS SAL polygon representative point (approximate)
Ardeer,3022,-37.775944,144.801046,VIC,20062,ASGS SAL polygon representative point (approximate)
Ardmona,3629,-36.38014,145.301078,VIC,20063,ASGS SAL polygon representative point (approximate)
Areegra,3480,-36.238241,142.68033,VIC,20064,ASGS SAL polygon representative point (approximate)
Argyle,3523,-36.967363,144.716896,VIC,20065,ASGS SAL polygon representative point (approximate)
